KIN,調性數字,調性,圖騰數字,圖騰,主印記,矩陣位置,KIN,波符,波符加印記,城堡,波符加印記城堡,銀河季節,波符加印記城堡銀河季節,諧波,密碼子,調性數字,調性,圖騰數字,圖騰,星際原型,BMU,行星,流,電路,說明,家族,對應脈輪,電路,電路說明
60,8,銀河星系,20,黃太陽,銀河星系黃太陽,V03:H20,60,紅天行者波符,紅天行者波符銀河星系黃太陽,白色北方淨化城堡,白色北方淨化城堡紅天行者波符銀河星系黃太陽,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡紅天行者波符銀河星系黃太陽,"諧波15
銀河星系的母體矩陣，自我調整完整的宇宙之火","第3股 行使力量之道
降伏心智
18山風蠱卦",,,,,,,,,,,,,,
61,9,太陽,1,紅龍,太陽紅龍,V04:H01,61,紅天行者波符,紅天行者波符太陽紅龍,白色北方淨化城堡,白色北方淨化城堡紅天行者波符太陽紅龍,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡紅天行者波符太陽紅龍,"諧波16
水晶的輸入，賦予合作的盛開","第2股 舉止之道
履行實踐
10天澤履卦",,,,,,,,,,,,,,
62,10,行星,2,白風,行星白風,V04:H02,62,紅天行者波符,紅天行者波符行星白風,白色北方淨化城堡,白色北方淨化城堡紅天行者波符行星白風,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡紅天行者波符行星白風,"諧波16
水晶的輸入，賦予合作的盛開","第2股 舉止之道
履行實踐
10天澤履卦",,,,,,,,,,,,,,
63,11,光譜,3,藍夜,光譜藍夜,V04:H03,63,紅天行者波符,紅天行者波符光譜藍夜,白色北方淨化城堡,白色北方淨化城堡紅天行者波符光譜藍夜,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡紅天行者波符光譜藍夜,"諧波16
水晶的輸入，賦予合作的盛開","第2股 舉止之道
履行實踐
10天澤履卦",,,,,,,,,,,,,,
64,12,水晶,4,黃種子,水晶黃種子,V04:H04,64,紅天行者波符,紅天行者波符水晶黃種子,白色北方淨化城堡,白色北方淨化城堡紅天行者波符水晶黃種子,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡紅天行者波符水晶黃種子,"諧波16
水晶的輸入，賦予合作的盛開","第2股 舉止之道
履行實踐
10天澤履卦",,,,,,,,,,,,,,
65,13,宇宙,5,紅蛇,宇宙紅蛇,V04:H05,65,紅天行者波符,紅天行者波符宇宙紅蛇,白色北方淨化城堡,白色北方淨化城堡紅天行者波符宇宙紅蛇,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡紅天行者波符宇宙紅蛇,"諧波17
電力的儲存，記得服務的優雅","第6股 動力建構之道
璀璨虛空
46地風升卦",,,,,,,,,,,,,,
66,1,磁性,6,白世界橋,磁性白世界橋,V04:H06,66,白世界橋波符,白世界橋波符磁性白世界橋,白色北方淨化城堡,白色北方淨化城堡白世界橋波符磁性白世界橋,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡白世界橋波符磁性白世界橋,"諧波17
電力的儲存，記得服務的優雅","第6股 動力建構之道
璀璨虛空
46地風升卦",,,,,,,,,,,,,,
67,2,月亮,7,藍手,月亮藍手,V04:H07,67,白世界橋波符,白世界橋波符月亮藍手,白色北方淨化城堡,白色北方淨化城堡白世界橋波符月亮藍手,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡白世界橋波符月亮藍手,"諧波17
電力的儲存，記得服務的優雅","第6股 動力建構之道
璀璨虛空
46地風升卦",,,,,,,,,,,,,,
68,3,電力,8,黃星星,電力黃星星,V04:H08,68,白世界橋波符,白世界橋波符電力黃星星,白色北方淨化城堡,白色北方淨化城堡白世界橋波符電力黃星星,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡白世界橋波符電力黃星星,"諧波17
電力的儲存，記得服務的優雅","第6股 動力建構之道
璀璨虛空
46地風升卦",,,,,,,,,,,,,,
69,4,自我存在,9,紅月,自我存在紅月,V04:H09,69,白世界橋波符,白世界橋波符自我存在紅月,白色北方淨化城堡,白色北方淨化城堡白世界橋波符自我存在紅月,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡白世界橋波符自我存在紅月,"諧波18
共鳴的作用，構建協調的自由意志","第8股 銀河星系的八度音階之道
喜悅之光熱
58兌為澤卦",,,,,,,,,,,,,,
70,5,超頻,10,白狗,超頻白狗,V04:H10,70,白世界橋波符,白世界橋波符超頻白狗,白色北方淨化城堡,白色北方淨化城堡白世界橋波符超頻白狗,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡白世界橋波符超頻白狗,"諧波18
共鳴的作用，構建協調的自由意志","第8股 銀河星系的八度音階之道
喜悅之光熱
58兌為澤卦",,,,,,,,,,,,,,
71,6,韻律,11,藍猴,韻律藍猴,V04:H11,71,白世界橋波符,白世界橋波符韻律藍猴,白色北方淨化城堡,白色北方淨化城堡白世界橋波符韻律藍猴,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡白世界橋波符韻律藍猴,"諧波18
共鳴的作用，構建協調的自由意志","第8股 銀河星系的八度音階之道
喜悅之光熱
58兌為澤卦",,,,,,,,,,,,,,
72,7,共振,12,黃人,共振黃人,V04:H12,72,白世界橋波符,白世界橋波符共振黃人,白色北方淨化城堡,白色北方淨化城堡白世界橋波符共振黃人,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡白世界橋波符共振黃人,"諧波18
共鳴的作用，構建協調的自由意志","第8股 銀河星系的八度音階之道
喜悅之光熱
58兌為澤卦",,,,,,,,,,,,,,
73,8,銀河星系,13,紅天行者,銀河星系紅天行者,V04:H13,73,白世界橋波符,白世界橋波符銀河星系紅天行者,白色北方淨化城堡,白色北方淨化城堡白世界橋波符銀河星系紅天行者,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡白世界橋波符銀河星系紅天行者,"諧波19
光譜的輸出，表現解脫的智能","第1股 樹之道
眾人崩散
06天水訟卦",,,,,,,,,,,,,,
74,9,太陽,14,白巫師,太陽白巫師,V04:H14,74,白世界橋波符,白世界橋波符太陽白巫師,白色北方淨化城堡,白色北方淨化城堡白世界橋波符太陽白巫師,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡白世界橋波符太陽白巫師,"諧波19
光譜的輸出，表現解脫的智能","第1股 樹之道
眾人崩散
06天水訟卦",,,,,,,,,,,,,,
75,10,行星,15,藍鷹,行星藍鷹,V04:H15,75,白世界橋波符,白世界橋波符行星藍鷹,白色北方淨化城堡,白色北方淨化城堡白世界橋波符行星藍鷹,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡白世界橋波符行星藍鷹,"諧波19
光譜的輸出，表現解脫的智能","第1股 樹之道
眾人崩散
06天水訟卦",,,,,,,,,,,,,,
76,11,光譜,16,黃戰士,光譜黃戰士,V04:H16,76,白世界橋波符,白世界橋波符光譜黃戰士,白色北方淨化城堡,白色北方淨化城堡白世界橋波符光譜黃戰士,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡白世界橋波符光譜黃戰士,"諧波19
光譜的輸出，表現解脫的智能","第1股 樹之道
眾人崩散
06天水訟卦",,,,,,,,,,,,,,
77,12,水晶,17,紅地球,水晶紅地球,V04:H17,77,白世界橋波符,白世界橋波符水晶紅地球,白色北方淨化城堡,白色北方淨化城堡白世界橋波符水晶紅地球,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡白世界橋波符水晶紅地球,"諧波20
月亮的母體矩陣，自我調整挑戰的宇宙之火","第5股 第五不可抑制之道
辨別
38火澤睽卦",,,,,,,,,,,,,,
78,13,宇宙,18,白鏡,宇宙白鏡,V04:H18,78,白世界橋波符,白世界橋波符宇宙白鏡,白色北方淨化城堡,白色北方淨化城堡白世界橋波符宇宙白鏡,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡白世界橋波符宇宙白鏡,"諧波20
月亮的母體矩陣，自我調整挑戰的宇宙之火","第5股 第五不可抑制之道
辨別
38火澤睽卦",,,,,,,,,,,,,,
79,1,磁性,19,藍風暴,磁性藍風暴,V04:H19,79,藍風暴波符,藍風暴波符磁性藍風暴,白色北方淨化城堡,白色北方淨化城堡藍風暴波符磁性藍風暴,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡藍風暴波符磁性藍風暴,"諧波20
月亮的母體矩陣，自我調整挑戰的宇宙之火","第5股 第五不可抑制之道
辨別
38火澤睽卦",,,,,,,,,,,,,,
80,2,月亮,20,黃太陽,月亮黃太陽,V04:H20,80,藍風暴波符,藍風暴波符月亮黃太陽,白色北方淨化城堡,白色北方淨化城堡藍風暴波符月亮黃太陽,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡藍風暴波符月亮黃太陽,"諧波20
月亮的母體矩陣，自我調整挑戰的宇宙之火","第5股 第五不可抑制之道
辨別
38火澤睽卦",,,,,,,,,,,,,,
81,3,電力,1,紅龍,電力紅龍,V05:H01,81,藍風暴波符,藍風暴波符電力紅龍,白色北方淨化城堡,白色北方淨化城堡藍風暴波符電力紅龍,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡藍風暴波符電力紅龍,"諧波21
韻律的輸入，賦予均衡的盛開","第6股 動力建構之道
召喚源頭
47澤水困卦",,,,,,,,,,,,,,
82,4,自我存在,2,白風,自我存在白風,V05:H02,82,藍風暴波符,藍風暴波符自我存在白風,白色北方淨化城堡,白色北方淨化城堡藍風暴波符自我存在白風,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡藍風暴波符自我存在白風,"諧波21
韻律的輸入，賦予均衡的盛開","第6股 動力建構之道
召喚源頭
47澤水困卦",,,,,,,,,,,,,,
83,5,超頻,3,藍夜,超頻藍夜,V05:H03,83,藍風暴波符,藍風暴波符超頻藍夜,白色北方淨化城堡,白色北方淨化城堡藍風暴波符超頻藍夜,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡藍風暴波符超頻藍夜,"諧波21
韻律的輸入，賦予均衡的盛開","第6股 動力建構之道
召喚源頭
47澤水困卦",,,,,,,,,,,,,,
84,6,韻律,4,黃種子,韻律黃種子,V05:H04,84,藍風暴波符,藍風暴波符韻律黃種子,白色北方淨化城堡,白色北方淨化城堡藍風暴波符韻律黃種子,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡藍風暴波符韻律黃種子,"諧波21
韻律的輸入，賦予均衡的盛開","第6股 動力建構之道
召喚源頭
47澤水困卦",,,,,,,,,,,,,,
85,7,共振,5,紅蛇,共振紅蛇,V05:H05,85,藍風暴波符,藍風暴波符共振紅蛇,白色北方淨化城堡,白色北方淨化城堡藍風暴波符共振紅蛇,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡藍風暴波符共振紅蛇,"諧波22
行星的儲存，記得顯化的優雅","第7股 心電感應之道
超越
54雷澤歸妹卦",,,,,,,,,,,,,,
86,8,銀河星系,6,白世界橋,銀河星系白世界橋,V05:H06,86,藍風暴波符,藍風暴波符銀河星系白世界橋,白色北方淨化城堡,白色北方淨化城堡藍風暴波符銀河星系白世界橋,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡藍風暴波符銀河星系白世界橋,"諧波22
行星的儲存，記得顯化的優雅","第7股 心電感應之道
超越
54雷澤歸妹卦",,,,,,,,,,,,,,
87,9,太陽,7,藍手,太陽藍手,V05:H07,87,藍風暴波符,藍風暴波符太陽藍手,白色北方淨化城堡,白色北方淨化城堡藍風暴波符太陽藍手,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡藍風暴波符太陽藍手,"諧波22
行星的儲存，記得顯化的優雅","第7股 心電感應之道
超越
54雷澤歸妹卦",,,,,,,,,,,,,,
88,10,行星,8,黃星星,行星黃星星,V05:H08,88,藍風暴波符,藍風暴波符行星黃星星,白色北方淨化城堡,白色北方淨化城堡藍風暴波符行星黃星星,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡藍風暴波符行星黃星星,"諧波22
行星的儲存，記得顯化的優雅","第7股 心電感應之道
超越
54雷澤歸妹卦",,,,,,,,,,,,,,
89,11,光譜,9,紅月,光譜紅月,V05:H09,89,藍風暴波符,藍風暴波符光譜紅月,白色北方淨化城堡,白色北方淨化城堡藍風暴波符光譜紅月,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡藍風暴波符光譜紅月,"諧波23
磁性的作用，構建目的的自由意志","第8股 銀河星系八度音階之道
醞釀
64火水未濟卦",,,,,,,,,,,,,,
90,12,水晶,10,白狗,水晶白狗,V05:H10,90,藍風暴波符,藍風暴波符水晶白狗,白色北方淨化城堡,白色北方淨化城堡藍風暴波符水晶白狗,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡藍風暴波符水晶白狗,"諧波23
磁性的作用，構建目的的自由意志","第8股 銀河星系八度音階之道
醞釀
64火水未濟卦",,,,,,,,,,,,,,
91,13,宇宙,11,藍猴,宇宙藍猴,V05:H11,91,藍風暴波符,藍風暴波符宇宙藍猴,白色北方淨化城堡,白色北方淨化城堡藍風暴波符宇宙藍猴,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡藍風暴波符宇宙藍猴,"諧波23
磁性的作用，構建目的的自由意志","第8股 銀河星系八度音階之道
醞釀
64火水未濟卦",,,,,,,,,,,,,,
92,1,磁性,12,黃人,磁性黃人,V05:H12,92,黃人波符,黃人波符磁性黃人,白色北方淨化城堡,白色北方淨化城堡黃人波符磁性黃人,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡黃人波符磁性黃人,"諧波23
磁性的作用，構建目的的自由意志","第8股 銀河星系八度音階之道
醞釀
64火水未濟卦",,,,,,,,,,,,,,
93,2,月亮,13,紅天行者,月亮紅天行者,V05:H13,93,黃人波符,黃人波符月亮紅天行者,白色北方淨化城堡,白色北方淨化城堡黃人波符月亮紅天行者,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡黃人波符月亮紅天行者,"諧波24
超頻的輸出，表現光芒四射的智能","第8股 銀河星系八度音階之道
內在空間
61風澤中孚卦",,,,,,,,,,,,,,
94,3,電力,14,白巫師,電力白巫師,V05:H14,94,黃人波符,黃人波符電力白巫師,白色北方淨化城堡,白色北方淨化城堡黃人波符電力白巫師,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡黃人波符電力白巫師,"諧波24
超頻的輸出，表現光芒四射的智能","第8股 銀河星系八度音階之道
內在空間
61風澤中孚卦",,,,,,,,,,,,,,
95,4,自我存在,15,藍鷹,自我存在藍鷹,V05:H15,95,黃人波符,黃人波符自我存在藍鷹,白色北方淨化城堡,白色北方淨化城堡黃人波符自我存在藍鷹,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡黃人波符自我存在藍鷹,"諧波24
超頻的輸出，表現光芒四射的智能","第8股 銀河星系八度音階之道
內在空間
61風澤中孚卦",,,,,,,,,,,,,,
96,5,超頻,16,黃戰士,超頻黃戰士,V05:H16,96,黃人波符,黃人波符超頻黃戰士,白色北方淨化城堡,白色北方淨化城堡黃人波符超頻黃戰士,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡黃人波符超頻黃戰士,"諧波24
超頻的輸出，表現光芒四射的智能","第8股 銀河星系八度音階之道
內在空間
61風澤中孚卦",,,,,,,,,,,,,,
97,6,韻律,17,紅地球,韻律紅地球,V05:H17,97,黃人波符,黃人波符韻律紅地球,白色北方淨化城堡,白色北方淨化城堡黃人波符韻律紅地球,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡黃人波符韻律紅地球,"諧波25
太陽的母體矩陣，自我調整意圖的宇宙之火","第5股 第五不可抑制之道
心的釋放
40雷水解卦",,,,,,,,,,,,,,
98,7,共振,18,白鏡,共振白鏡,V05:H18,98,黃人波符,黃人波符共振白鏡,白色北方淨化城堡,白色北方淨化城堡黃人波符共振白鏡,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡黃人波符共振白鏡,"諧波25
太陽的母體矩陣，自我調整意圖的宇宙之火","第5股 第五不可抑制之道
心的釋放
40雷水解卦",,,,,,,,,,,,,,
99,8,銀河星系,19,藍風暴,銀河星系藍風暴,V05:H19,99,黃人波符,黃人波符銀河星系藍風暴,白色北方淨化城堡,白色北方淨化城堡黃人波符銀河星系藍風暴,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡黃人波符銀河星系藍風暴,"諧波25
太陽的母體矩陣，自我調整意圖的宇宙之火","第5股 第五不可抑制之道
心的釋放
40雷水解卦",,,,,,,,,,,,,,
100,9,太陽,20,黃太陽,太陽黃太陽,V05:H20,100,黃人波符,黃人波符太陽黃太陽,白色北方淨化城堡,白色北方淨化城堡黃人波符太陽黃太陽,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡黃人波符太陽黃太陽,"諧波25
太陽的母體矩陣，自我調整意圖的宇宙之火","第5股 第五不可抑制之道
心的釋放
40雷水解卦",,,,,,,,,,,,,,
101,10,行星,1,紅龍,行星紅龍,V06:H01,101,黃人波符,黃人波符行星紅龍,白色北方淨化城堡,白色北方淨化城堡黃人波符行星紅龍,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡黃人波符行星紅龍,"諧波26
宇宙的輸入，賦予存在的盛開","第8股 銀河星系八度音階之道
測量權衡
60水澤節卦",,,,,,,,,,,,,,
102,11,光譜,2,白風,光譜白風,V06:H02,102,黃人波符,黃人波符光譜白風,白色北方淨化城堡,白色北方淨化城堡黃人波符光譜白風,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡黃人波符光譜白風,"諧波26
宇宙的輸入，賦予存在的盛開","第8股 銀河星系八度音階之道
測量權衡
60水澤節卦",,,,,,,,,,,,,,
103,12,水晶,3,藍夜,水晶藍夜,V06:H03,103,黃人波符,黃人波符水晶藍夜,白色北方淨化城堡,白色北方淨化城堡黃人波符水晶藍夜,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡黃人波符水晶藍夜,"諧波26
宇宙的輸入，賦予存在的盛開","第8股 銀河星系八度音階之道
測量權衡
60水澤節卦",,,,,,,,,,,,,,
104,13,宇宙,4,黃種子,宇宙黃種子,V06:H04,104,黃人波符,黃人波符宇宙黃種子,白色北方淨化城堡,白色北方淨化城堡黃人波符宇宙黃種子,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節白色北方淨化城堡黃人波符宇宙黃種子,"諧波26
宇宙的輸入，賦予存在的盛開","第8股 銀河星系八度音階之道
測量權衡
60水澤節卦",,,,,,,,,,,,,,
105,1,磁性,5,紅蛇,磁性紅蛇,V06:H05,105,紅蛇波符,紅蛇波符磁性紅蛇,藍色西方蛻變城堡,藍色西方蛻變城堡紅蛇波符磁性紅蛇,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節藍色西方蛻變城堡紅蛇波符磁性紅蛇,"諧波27
自我存在的儲存，記得形式的優雅","第8股 銀河星系八度音階之道
消解
59風水渙卦",,,,,,,,,,,,,,
106,2,月亮,6,白世界橋,月亮白世界橋,V06:H06,106,紅蛇波符,紅蛇波符月亮白世界橋,藍色西方蛻變城堡,藍色西方蛻變城堡紅蛇波符月亮白世界橋,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節藍色西方蛻變城堡紅蛇波符月亮白世界橋,"諧波27
自我存在的儲存，記得形式的優雅","第8股 銀河星系八度音階之道
消解
59風水渙卦",,,,,,,,,,,,,,
107,3,電力,7,藍手,電力藍手,V06:H07,107,紅蛇波符,紅蛇波符電力藍手,藍色西方蛻變城堡,藍色西方蛻變城堡紅蛇波符電力藍手,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節藍色西方蛻變城堡紅蛇波符電力藍手,"諧波27
自我存在的儲存，記得形式的優雅","第8股 銀河星系八度音階之道
消解
59風水渙卦",,,,,,,,,,,,,,
108,4,自我存在,8,黃星星,自我存在黃星星,V06:H08,108,紅蛇波符,紅蛇波符自我存在黃星星,藍色西方蛻變城堡,藍色西方蛻變城堡紅蛇波符自我存在黃星星,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節藍色西方蛻變城堡紅蛇波符自我存在黃星星,"諧波27
自我存在的儲存，記得形式的優雅","第8股 銀河星系八度音階之道
消解
59風水渙卦",,,,,,,,,,,,,,
109,5,超頻,9,紅月,超頻紅月,V06:H09,109,紅蛇波符,紅蛇波符超頻紅月,藍色西方蛻變城堡,藍色西方蛻變城堡紅蛇波符超頻紅月,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節藍色西方蛻變城堡紅蛇波符超頻紅月,"諧波28
銀河星系的作用，構建完整的自由意志","第6股 動力建構之道
喜悅之聖殿
41山澤損卦",,,,,,,,,,,,,,
110,6,韻律,10,白狗,韻律白狗,V06:H10,110,紅蛇波符,紅蛇波符韻律白狗,藍色西方蛻變城堡,藍色西方蛻變城堡紅蛇波符韻律白狗,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節藍色西方蛻變城堡紅蛇波符韻律白狗,"諧波28
銀河星系的作用，構建完整的自由意志","第6股 動力建構之道
喜悅之聖殿
41山澤損卦",,,,,,,,,,,,,,
111,7,共振,11,藍猴,共振藍猴,V06:H11,111,紅蛇波符,紅蛇波符共振藍猴,藍色西方蛻變城堡,藍色西方蛻變城堡紅蛇波符共振藍猴,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節藍色西方蛻變城堡紅蛇波符共振藍猴,"諧波28
銀河星系的作用，構建完整的自由意志","第6股 動力建構之道
喜悅之聖殿
41山澤損卦",,,,,,,,,,,,,,
112,8,銀河星系,12,黃人,銀河星系黃人,V06:H12,112,紅蛇波符,紅蛇波符銀河星系黃人,藍色西方蛻變城堡,藍色西方蛻變城堡紅蛇波符銀河星系黃人,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節藍色西方蛻變城堡紅蛇波符銀河星系黃人,"諧波28
銀河星系的作用，構建完整的自由意志","第6股 動力建構之道
喜悅之聖殿
41山澤損卦",,,,,,,,,,,,,,
113,9,太陽,13,紅天行者,太陽紅天行者,V06:H13,113,紅蛇波符,紅蛇波符太陽紅天行者,藍色西方蛻變城堡,藍色西方蛻變城堡紅蛇波符太陽紅天行者,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節藍色西方蛻變城堡紅蛇波符太陽紅天行者,"諧波29
水晶的輸出，表現合作的智能","第4股 第四超越之道
心/月 水晶
29坎為水卦",,,,,,,,,,,,,,
114,10,行星,14,白巫師,行星白巫師,V06:H14,114,紅蛇波符,紅蛇波符行星白巫師,藍色西方蛻變城堡,藍色西方蛻變城堡紅蛇波符行星白巫師,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節藍色西方蛻變城堡紅蛇波符行星白巫師,"諧波29
水晶的輸出，表現合作的智能","第4股 第四超越之道
心/月 水晶
29坎為水卦",,,,,,,,,,,,,,
115,11,光譜,15,藍鷹,光譜藍鷹,V06:H15,115,紅蛇波符,紅蛇波符光譜藍鷹,藍色西方蛻變城堡,藍色西方蛻變城堡紅蛇波符光譜藍鷹,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節藍色西方蛻變城堡紅蛇波符光譜藍鷹,"諧波29
水晶的輸出，表現合作的智能","第4股 第四超越之道
心/月 水晶
29坎為水卦",,,,,,,,,,,,,,
116,12,水晶,16,黃戰士,水晶黃戰士,V06:H16,116,紅蛇波符,紅蛇波符水晶黃戰士,藍色西方蛻變城堡,藍色西方蛻變城堡紅蛇波符水晶黃戰士,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節藍色西方蛻變城堡紅蛇波符水晶黃戰士,"諧波29
水晶的輸出，表現合作的智能","第4股 第四超越之道
心/月 水晶
29坎為水卦",,,,,,,,,,,,,,
117,13,宇宙,17,紅地球,宇宙紅地球,V06:H17,117,紅蛇波符,紅蛇波符宇宙紅地球,藍色西方蛻變城堡,藍色西方蛻變城堡紅蛇波符宇宙紅地球,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節藍色西方蛻變城堡紅蛇波符宇宙紅地球,"諧波30
電力的母體矩陣，自我調整服務的宇宙之火","第3股 行使力量之道
巫師之志
19地澤臨卦",,,,,,,,,,,,,,
118,1,磁性,18,白鏡,磁性白鏡,V06:H18,118,白鏡波符,白鏡波符磁性白鏡,藍色西方蛻變城堡,藍色西方蛻變城堡白鏡波符磁性白鏡,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節藍色西方蛻變城堡白鏡波符磁性白鏡,"諧波30
電力的母體矩陣，自我調整服務的宇宙之火","第3股 行使力量之道
巫師之志
19地澤臨卦",,,,,,,,,,,,,,
119,2,月亮,19,藍風暴,月亮藍風暴,V06:H19,119,白鏡波符,白鏡波符月亮藍風暴,藍色西方蛻變城堡,藍色西方蛻變城堡白鏡波符月亮藍風暴,視野藍鷹藍色銀河季節,視野藍鷹藍色銀河季節藍色西方蛻變城堡白鏡波符月亮藍風暴,"諧波30
電力的母體矩陣，自我調整服務的宇宙之火","第3股 行使力量之道
巫師之志
19地澤臨卦",,,,,,,,,,,,,,
120,3,電力,20,黃太陽,電力黃太陽,V06:H20,120,白鏡波符,白鏡波符電力黃太陽,藍色西方蛻變城堡,藍色西方蛻變城堡白鏡波符電力黃太陽,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節藍色西方蛻變城堡白鏡波符電力黃太陽,"諧波30
電力的母體矩陣，自我調整服務的宇宙之火","第3股 行使力量之道
巫師之志
19地澤臨卦",,,,,,,,,,,,,,
121,4,自我存在,1,紅龍,自我存在紅龍,V07:H01,121,白鏡波符,白鏡波符自我存在紅龍,藍色西方蛻變城堡,藍色西方蛻變城堡白鏡波符自我存在紅龍,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節藍色西方蛻變城堡白鏡波符自我存在紅龍,"諧波31 
共鳴的輸入，賦予協調的盛開","第1股 樹之道
再次凝聽
04山水蒙卦",,,,,,,,,,,,,,
122,5,超頻,2,白風,超頻白風,V07:H02,122,白鏡波符,白鏡波符超頻白風,藍色西方蛻變城堡,藍色西方蛻變城堡白鏡波符超頻白風,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節藍色西方蛻變城堡白鏡波符超頻白風,"諧波31 
共鳴的輸入，賦予協調的盛開","第1股 樹之道
再次凝聽
04山水蒙卦",,,,,,,,,,,,,,
123,6,韻律,3,藍夜,韻律藍夜,V07:H03,123,白鏡波符,白鏡波符韻律藍夜,藍色西方蛻變城堡,藍色西方蛻變城堡白鏡波符韻律藍夜,開悟黃太陽黃色銀河季節,開悟黃太陽黃色銀河季節藍色西方蛻變城堡白鏡波符韻律藍夜,"諧波31 
共鳴的輸入，賦予協調的盛開","第1股 樹之道
再次凝聽
04山水蒙卦",,,,,,,,,,,,,,
