歲數,起始年,調性數字,調性,圖騰數字,圖騰,對應KIN,主印記,波符加印記,起始日期,結束日期,諧波,對應卦象,主題,說明
98,2092,11,光譜,14,白巫師,154,光譜白巫師,黃種子波符光譜白巫師,2092/08/10,8/9/2093,"諧波39
宇宙的輸出，表現存在的智能",雷火豐,喚醒智慧,"空間與空間之間的融合，騎乘著宇宙脈動
在午夜的太陽中看見北極星
在山中冥想，喚起內在之光"
99,2093,12,水晶,19,藍風暴,259,水晶藍風暴,黃星星波符水晶藍風暴,2093/08/10,8/9/2094,"諧波65
宇宙的母體矩陣，自我調整當下的宇宙之火",坤為地,初始母體,"月亮教導樹，如同地球呼吸
紅星球擁有雙月—是記憶的符號
透由極性藝術，一分為二"
100,2094,13,宇宙,4,黃種子,104,宇宙黃種子,黃人波符宇宙黃種子,2094/08/10,8/9/2095,"諧波26
宇宙的輸入，賦予存在的盛開",水澤節,測量權衡,"意義只是空間的輻射光芒中的一個韻律
心是尺度，無窮於它的悖論
測量月亮，並找到心智的極限"
101,2095,1,磁性,9,紅月,209,磁性紅月,紅月波符磁性紅月,2095/08/10,8/9/2096,"諧波53
自我存在的作用，構建形式的自由意志",火雷噬嗑,喚起視野,"藍天綠野，心智照亮萬物
從眼睛中心映照出初升的旭日
將內在之眼轉換成靈性天賜的食糧"
102,2096,2,月亮,14,白巫師,54,月亮白巫師,紅天行者波符月亮白巫師,2096/08/10,8/9/2097,"諧波14
自我存在的輸出，表現形式的智能",地天泰,動力生機,"空間根據意識轉換形式
障礙消融於輻射光芒的海洋中
劃分時間，給予空間形式"
103,2097,3,電力,19,藍風暴,159,電力藍風暴,紅地球波符電力藍風暴,2097/08/10,8/9/2098,"諧波40
自我存在的母體矩陣，自我調整形式的宇宙之火",火山旅,遠航,"它說：回到心智，然後重新開始
看見來自遙遠恆星的光
在更高的心智迴路上旅行"
104,2098,4,自我存在,4,黃種子,4,自我存在黃種子,紅龍波符自我存在黃種子,2098/08/10,8/9/2099,"諧波1 
自我存在的輸入，賦予形式的盛開",乾為天,創世起源,"宇宙之樹內，有創造的門戶
時間掌握了空間的氣息
從失落的時間間隔中，創世湧現"
105,2099,5,超頻,9,紅月,109,超頻紅月,紅蛇波符超頻紅月,2099/08/10,8/9/2100,"諧波28
銀河星系的作用，構建完整的自由意志",山澤損,喜悅之聖殿,"一首古老歌謠穿透寂靜
藉由靈魂之眼的藍，聆聽內在光芒
月亮倒映在海上"
106,2100,6,韻律,14,白巫師,214,韻律白巫師,紅月波符韻律白巫師,2100/08/10,8/9/2101,"諧波54
銀河星系的輸出，表現完整的智能",澤地萃,當下的海洋,"人們歡聚一堂為了提供服務
銀河指令降臨
在那無邊際空間的聖殿中"
107,2101,7,共振,19,藍風暴,59,共振藍風暴,紅天行者波符共振藍風暴,2101/08/10,8/9/2102,"諧波15
銀河星系的母體矩陣，自我調整完整的宇宙之火",山風蠱,降伏心智,"在取之不盡的源頭中消融心智
在意識之海打磨石頭
只追隨內在之光"
108,2102,8,銀河星系,4,黃種子,164,銀河星系黃種子,紅地球波符銀河星系黃種子,2102/08/10,8/9/2103,"諧波41
銀河星系的輸入，賦予完整的盛開",風火家人,家的力量,"獨處的時間將決定誰去誰回
勿讓火源處於無人看管狀態
家，內在之火"
109,2103,9,太陽,9,紅月,9,太陽紅月,紅龍波符太陽紅月,2103/08/10,8/9/2104,"諧波3 
水晶的作用，構建合作的自由意志",天風姤,時間的穿透力,"合一了智慧的並且到達最遠的地平線
神聖的火花照見四季
太陽釋放出金色的呼吸環"
110,2104,10,行星,14,白巫師,114,行星白巫師,紅蛇波符行星白巫師,2104/08/10,8/9/2105,"諧波29
水晶的輸出，表現合作的智能",坎為水,心水晶/月水晶,"用光的幻象填滿月亮
太陽未出現時，出現空間的幻覺
不在心智陰影中尋求認同"
111,2105,11,光譜,19,藍風暴,219,光譜藍風暴,紅月波符光譜藍風暴,2105/08/10,8/9/2106,"諧波55
水晶的母體矩陣，自我調整合作的宇宙之火",震為雷,雷/喚醒存在,"不須費力地三摩地轉錄心電感應的歌詞
藉由超精神的力量，喚醒內在身體
宇宙呼吸的能量，喚醒昆達里尼"
112,2106,12,水晶,4,黃種子,64,水晶黃種子,紅天行者波符水晶黃種子,2106/08/10,###############################################################################################################################################################################################################################################################,"諧波16
水晶的輸入，賦予合作的盛開",天澤履,履行實踐,"記憶之書被深深掩埋
沒有藉口的冥想
離開因果而意識到自我"
